Day,Mean,Standard Deviation,Maximum,Minimum,Median,Range
1,5.878795073987263,4.5350039302501886,14.703,1.3483683901298549,3.4749999999999996,13.354631609870145
2,5.807190160221648,3.728294609315485,12.172,1.6392359327536818,4.38,10.532764067246319
3,5.883009823162742,3.6423835837686176,13.511,2.508,3.906,11.003
4,2.6357655516604384,0.46402326109095915,3.899,1.8345223935363786,2.5575,2.0644776064636217
5,2.9375986482438052,1.1129862337880305,7.617,1.9604295638863485,2.537,5.656570436113651
6,5.03463760916046,3.3625706810742044,11.311,1.1634459048816808,3.2800000000000002,10.14755409511832
7,6.646507566843572,5.220360003587322,16.6335,2.0904972369574666,3.4074999999999998,14.543002763042535
8,4.800187627213838,2.905626989920598,10.94,1.7816830424797876,3.3475,9.158316957520212
9,4.377945630169854,2.79113901648614,11.202,1.1776731389438893,3.004,10.02432686105611
10,4.8696559025054915,2.9762928701230065,11.525,2.174,3.117,9.351
11,2.311088792711637,0.4912216724251218,3.611,1.5537733512248706,2.267,2.0572266487751296
12,2.2498374493022095,0.6352183631586085,4.222,1.3032954557563017,2.242,2.918704544243699
13,4.8318214056250985,3.2854261570166963,11.19,1.4736686837259714,2.9560000000000004,9.716331316274028
14,5.024690246722119,3.9369703083790437,12.108,1.1686275790850977,2.3495,10.939372420914903
15,6.157409331102208,4.867446202330742,13.99,1.208985174637098,3.0255,12.781014825362902
16,6.064611980458651,4.621603740698283,15.328,1.288500591015331,3.7165,14.039499408984668
17,4.879153756243869,3.054624180078729,13.93,2.153,3.6635,11.777
18,2.635677441333966,0.7224015416367191,4.059,1.3834777510913139,2.5869999999999997,2.6755222489086865
19,2.579794407741989,0.513487623620194,4.506,1.7484955123067736,2.4385,2.7575044876932266
20,5.368451271207994,3.8681557140282816,14.079,1.447840647752218,3.1025,12.631159352247783
