Day,Mean,Standard Deviation,Maximum,Minimum,Median,Range
1,6.009666666666667,4.420461410080874,14.703,2.085,3.5309999999999997,12.617999999999999
2,5.881249999999999,3.6531628121279907,12.172,2.082,4.38,10.09
3,6.730333333333333,4.737520530841196,15.4645,2.508,3.906,12.956499999999998
4,2.783833333333334,0.4280424682317504,3.899,2.371,2.601,1.528
5,3.019625,1.0807878258326586,7.617,2.207,2.5780000000000003,5.41
6,5.433229166666666,3.303288414689302,11.311,2.051,3.5825,9.26
7,6.914447916666667,5.118950367433825,16.6335,2.575,3.4604999999999997,14.058500000000002
8,5.323479166666666,3.3656740653917088,11.543,2.231,3.3805,9.312
9,5.074666666666666,3.222826480718857,11.202,2.117,3.064,9.085
10,5.376875000000001,3.7194697267046464,13.265,2.174,3.117,11.091000000000001
11,2.4136249999999997,0.44957699385561906,3.711,2.008,2.267,1.7029999999999998
12,2.4598125,0.48042501822687983,4.222,2.012,2.278,2.2100000000000004
13,5.001625,3.236484483792528,11.19,2.016,2.9560000000000004,9.174
14,5.270791666666667,3.795050012051439,12.108,2.054,2.9560000000000004,10.054
15,6.333291666666667,4.704147798365316,13.99,2.026,3.1035,11.964
16,6.884854166666666,5.091355126175481,15.378,2.233,3.7165,13.145
17,5.8345625000000005,4.107924608820775,13.93,2.153,3.6635,11.777
18,2.8322291666666666,0.5489379781105118,4.059,2.081,2.7355,1.9780000000000002
19,2.667708333333333,0.48086893681871684,4.506,2.103,2.4859999999999998,2.403
20,5.820229166666667,4.448434528558995,15.222,2.115,3.1025,13.107
